Date,Church,Women,Men,Turned Away,Total Guests,Total Demand,Temp Low,Precipitation,Snow,Snow Depth,N_Dem,N_Temp,N_Prep,N_Sn,N_Snwd
11/29/2017,Blessed Sacrament,14,33,2,47,49,45,0,0,0,0.086021505,0.713114754,0,0,0
11/30/2017,Blessed Sacrament,17,32,5,49,54,46,0,0,0,0.139784946,0.733606557,0,0,0
12/1/2017,Blessed Sacrament,15,26,0,41,41,41,0,0,0,0,0.631147541,0,0,0
12/2/2017,Blessed Sacrament,19,33,1,52,53,35.1,0,0,0,0.129032258,0.510245902,0,0,0
12/3/2017,Blessed Sacrament,17,37,1,54,55,44.1,0,0,0,0.150537634,0.694672131,0,0,0
12/4/2017,Blessed Sacrament,19,32,6,51,57,41,0,0,0,0.172043011,0.631147541,0,0,0
12/5/2017,Blessed Sacrament,17,32,1,49,50,45,0.01,0,0,0.096774194,0.713114754,0.007692308,0,0
12/6/2017,First Lutheran / Great Bridge UMC,21,51,0,72,72,42.1,0.21,0,0,0.333333333,0.653688525,0.161538462,0,0
12/7/2017,First Lutheran / Great Bridge UMC,20,56,0,76,76,41,0,0,0,0.376344086,0.631147541,0,0,0
12/8/2017,First Lutheran / Great Bridge UMC,19,60,0,79,79,37.9,1.3,0,0,0.408602151,0.567622951,1,0,0
12/9/2017,First Lutheran / Great Bridge UMC,20,73,0,93,93,33.1,0.87,0,0,0.559139785,0.469262295,0.669230769,0,0
12/10/2017,First Lutheran / Great Bridge UMC,22,71,0,93,93,30.2,0,0,0,0.559139785,0.409836066,0,0,0
12/11/2017,First Lutheran / Great Bridge UMC,24,86,0,110,110,30.2,0,0,0,0.741935484,0.409836066,0,0,0
12/12/2017,First Lutheran / Great Bridge UMC,23,84,0,107,107,33.1,0.01,0,0,0.709677419,0.469262295,0.007692308,0,0
12/13/2017,Wesley Grace,24,38,26,62,88,26.2,0,0,0,0.505376344,0.327868852,0,0,0
12/14/2017,Wesley Grace,19,47,27,66,93,37,0,0,0,0.559139785,0.549180328,0,0,0
12/15/2017,Wesley Grace,16,48,20,64,84,32,0,0,0,0.462365591,0.446721311,0,0,0
12/16/2017,Wesley Grace,25,53,14,78,92,27.1,0,0,0,0.548387097,0.346311475,0,0,0
12/17/2017,Wesley Grace,23,48,8,71,79,28.2,0,0,0,0.408602151,0.368852459,0,0,0
12/18/2017,Wesley Grace,20,44,14,64,78,37.9,0,0,0,0.397849462,0.567622951,0,0,0
12/19/2017,Wesley Grace,26,45,17,71,88,39,0,0,0,0.505376344,0.590163934,0,0,0
12/20/2017,First Presbyterian Church / Christ the King,25,80,0,105,105,44.1,0,0,0,0.688172043,0.694672131,0,0,0
12/21/2017,First Presbyterian Church / Christ the King,24,91,0,115,115,37,0,0,0,0.795698925,0.549180328,0,0,0
12/22/2017,First Presbyterian Church / Christ the King,26,74,0,100,100,39,0,0,0,0.634408602,0.590163934,0,0,0
12/23/2017,First Presbyterian Church / Christ the King,24,67,0,91,91,48.9,0,0,0,0.537634409,0.793032787,0,0,0
12/24/2017,First Presbyterian Church / Christ the King,21,69,0,90,90,41,0,0,0,0.52688172,0.631147541,0,0,0
12/25/2017,First Presbyterian Church / Christ the King,24,76,0,100,100,36,0,0,0,0.634408602,0.528688525,0,0,0
12/26/2017,First Presbyterian Church / Christ the King,31,83,0,114,114,33.1,0,0,0,0.784946237,0.469262295,0,0,0
12/27/2017,Larchmont Methodist / Christ & St Luke's ,25,89,0,114,114,30.2,0,0,0,0.784946237,0.409836066,0,0,0
12/28/2017,Larchmont Methodist / Christ & St Luke's ,21,83,0,104,104,23.2,0,0,0,0.677419355,0.266393443,0,0,0
12/29/2017,Larchmont Methodist / Christ & St Luke's ,18,60,0,78,78,22.1,0,0,0,0.397849462,0.243852459,0,0,0
12/30/2017,Larchmont Methodist / Christ & St Luke's ,26,71,2,97,99,27.1,0,0,0,0.623655914,0.346311475,0,0,0
12/31/2017,Larchmont Methodist / Christ & St Luke's ,24,86,3,110,113,22.1,0,0,0,0.774193548,0.243852459,0,0,0
1/1/2018,Larchmont Methodist / Christ & St Luke's ,25,89,0,114,114,21.2,0,0,0,0.784946237,0.225409836,0,0,0
1/2/2018,Larchmont Methodist / Christ & St Luke's ,22,84,0,106,106,15.3,0,0,0,0.698924731,0.104508197,0,0,0
1/3/2018,Tabernacle / Ohef Sholom Temple,24,86,4,110,114,13.1,0.42,5.2,0,0.784946237,0.05942623,0.323076923,1,0
1/4/2018,Tabernacle / Ohef Sholom Temple,27,105,2,132,134,21.2,0.64,5.12,9.06,1,0.225409836,0.492307692,0.984615385,0.920731707
1/5/2018,Tabernacle / Ohef Sholom Temple,28,94,0,122,122,15.3,0,0,9.84,0.870967742,0.104508197,0,0,1
1/6/2018,Tabernacle / Ohef Sholom Temple,29,94,0,123,123,15.3,0,0,7.87,0.88172043,0.104508197,0,0,0.799796748
1/7/2018,Tabernacle / Ohef Sholom Temple,27,88,2,115,117,10.2,0,0,7.87,0.817204301,0,0,0,0.799796748
1/8/2018,Tabernacle / Ohef Sholom Temple,25,97,6,122,128,10.2,0.01,0,7.09,0.935483871,0,0.007692308,0,0.720528455
1/9/2018,Tabernacle / Ohef Sholom Temple,28,88,2,116,118,28.2,0.03,0,5.91,0.827956989,0.368852459,0.023076923,0,0.600609756
1/10/2018,St Pius X / Oaklette United Church,22,80,0,102,102,28.2,0,0,5.12,0.655913978,0.368852459,0,0,0.520325203
1/11/2018,St Pius X / Oaklette United Church,27,71,0,98,98,34,0,0,3.94,0.612903226,0.487704918,0,0,0.400406504
1/12/2018,St Pius X / Oaklette United Church,26,71,10,97,107,59,0.49,0,0,0.709677419,1,0.376923077,0,0
1/13/2018,St Pius X / Oaklette United Church,26,74,22,100,122,30.2,0.05,0,0,0.870967742,0.409836066,0.038461538,0,0
1/14/2018,St Pius X / Oaklette United Church,24,76,14,100,114,23.2,0,0,0,0.784946237,0.266393443,0,0,0
1/15/2018,St Pius X / Oaklette United Church,30,76,18,106,124,27.1,0,0,0,0.892473118,0.346311475,0,0,0
1/16/2018,St Pius X / Oaklette United Church,24,79,14,103,117,31.1,0,0,0,0.817204301,0.428278689,0,0,0
,,,,,,134,59,1.3,5.2,9.84,,,,,
,,,,,,41,10.2,0,0,0,,,,,
